#gene_id	path_id	pathway
hsa:570	path:hsa00120	Primary bile acid biosynthesis
hsa:6342	path:hsa00120	Primary bile acid biosynthesis
hsa:6718	path:hsa00120	Primary bile acid biosynthesis
hsa:80270	path:hsa00120	Primary bile acid biosynthesis
hsa:8309	path:hsa00120	Primary bile acid biosynthesis
hsa:9023	path:hsa00120	Primary bile acid biosynthesis
hsa:9420	path:hsa00120	Primary bile acid biosynthesis
hsa:10229	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:27235	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:3242	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:51004	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:51805	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:6898	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:84274	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa:100510686	path:hsa00140	Steroid hormone biosynthesis
hsa:10720	path:hsa00140	Steroid hormone biosynthesis
hsa:10941	path:hsa00140	Steroid hormone biosynthesis
hsa:1109	path:hsa00140	Steroid hormone biosynthesis
hsa:1312	path:hsa00140	Steroid hormone biosynthesis
hsa:1543	path:hsa00140	Steroid hormone biosynthesis
hsa:1545	path:hsa00140	Steroid hormone biosynthesis
hsa:1551	path:hsa00140	Steroid hormone biosynthesis
hsa:1576	path:hsa00140	Steroid hormone biosynthesis
hsa:1577	path:hsa00140	Steroid hormone biosynthesis
hsa:1581	path:hsa00140	Steroid hormone biosynthesis
hsa:1583	path:hsa00140	Steroid hormone biosynthesis
hsa:1584	path:hsa00140	Steroid hormone biosynthesis
hsa:1585	path:hsa00140	Steroid hormone biosynthesis
hsa:1586	path:hsa00140	Steroid hormone biosynthesis
hsa:1588	path:hsa00140	Steroid hormone biosynthesis
hsa:1589	path:hsa00140	Steroid hormone biosynthesis
hsa:1645	path:hsa00140	Steroid hormone biosynthesis
hsa:1646	path:hsa00140	Steroid hormone biosynthesis
hsa:3283	path:hsa00140	Steroid hormone biosynthesis
hsa:3284	path:hsa00140	Steroid hormone biosynthesis
hsa:3290	path:hsa00140	Steroid hormone biosynthesis
hsa:3291	path:hsa00140	Steroid hormone biosynthesis
hsa:3292	path:hsa00140	Steroid hormone biosynthesis
hsa:3293	path:hsa00140	Steroid hormone biosynthesis
hsa:3294	path:hsa00140	Steroid hormone biosynthesis
hsa:412	path:hsa00140	Steroid hormone biosynthesis
hsa:51144	path:hsa00140	Steroid hormone biosynthesis
hsa:51478	path:hsa00140	Steroid hormone biosynthesis
hsa:54490	path:hsa00140	Steroid hormone biosynthesis
hsa:54575	path:hsa00140	Steroid hormone biosynthesis
hsa:54576	path:hsa00140	Steroid hormone biosynthesis
hsa:54577	path:hsa00140	Steroid hormone biosynthesis
hsa:54578	path:hsa00140	Steroid hormone biosynthesis
hsa:54579	path:hsa00140	Steroid hormone biosynthesis
hsa:54600	path:hsa00140	Steroid hormone biosynthesis
hsa:54657	path:hsa00140	Steroid hormone biosynthesis
hsa:54658	path:hsa00140	Steroid hormone biosynthesis
hsa:54659	path:hsa00140	Steroid hormone biosynthesis
hsa:574537	path:hsa00140	Steroid hormone biosynthesis
hsa:64816	path:hsa00140	Steroid hormone biosynthesis
hsa:6715	path:hsa00140	Steroid hormone biosynthesis
hsa:6716	path:hsa00140	Steroid hormone biosynthesis
hsa:6718	path:hsa00140	Steroid hormone biosynthesis
hsa:6783	path:hsa00140	Steroid hormone biosynthesis
hsa:6820	path:hsa00140	Steroid hormone biosynthesis
hsa:7363	path:hsa00140	Steroid hormone biosynthesis
hsa:7364	path:hsa00140	Steroid hormone biosynthesis
hsa:7365	path:hsa00140	Steroid hormone biosynthesis
hsa:7366	path:hsa00140	Steroid hormone biosynthesis
hsa:7367	path:hsa00140	Steroid hormone biosynthesis
hsa:7923	path:hsa00140	Steroid hormone biosynthesis
hsa:79644	path:hsa00140	Steroid hormone biosynthesis
hsa:79799	path:hsa00140	Steroid hormone biosynthesis
hsa:8630	path:hsa00140	Steroid hormone biosynthesis
hsa:8644	path:hsa00140	Steroid hormone biosynthesis
hsa:9420	path:hsa00140	Steroid hormone biosynthesis
hsa:10063	path:hsa00190	Oxidative phosphorylation
hsa:10312	path:hsa00190	Oxidative phosphorylation
hsa:10476	path:hsa00190	Oxidative phosphorylation
hsa:10632	path:hsa00190	Oxidative phosphorylation
hsa:10975	path:hsa00190	Oxidative phosphorylation
hsa:125965	path:hsa00190	Oxidative phosphorylation
hsa:126328	path:hsa00190	Oxidative phosphorylation
hsa:127124	path:hsa00190	Oxidative phosphorylation
hsa:1327	path:hsa00190	Oxidative phosphorylation
hsa:1329	path:hsa00190	Oxidative phosphorylation
hsa:1337	path:hsa00190	Oxidative phosphorylation
hsa:1339	path:hsa00190	Oxidative phosphorylation
hsa:1340	path:hsa00190	Oxidative phosphorylation
hsa:1345	path:hsa00190	Oxidative phosphorylation
hsa:1346	path:hsa00190	Oxidative phosphorylation
hsa:1347	path:hsa00190	Oxidative phosphorylation
hsa:1349	path:hsa00190	Oxidative phosphorylation
hsa:1350	path:hsa00190	Oxidative phosphorylation
hsa:1351	path:hsa00190	Oxidative phosphorylation
hsa:1352	path:hsa00190	Oxidative phosphorylation
hsa:1353	path:hsa00190	Oxidative phosphorylation
hsa:1355	path:hsa00190	Oxidative phosphorylation
hsa:1537	path:hsa00190	Oxidative phosphorylation
hsa:155066	path:hsa00190	Oxidative phosphorylation
hsa:170712	path:hsa00190	Oxidative phosphorylation
hsa:23545	path:hsa00190	Oxidative phosphorylation
hsa:245972	path:hsa00190	Oxidative phosphorylation
hsa:245973	path:hsa00190	Oxidative phosphorylation
hsa:27068	path:hsa00190	Oxidative phosphorylation
hsa:27089	path:hsa00190	Oxidative phosphorylation
hsa:29796	path:hsa00190	Oxidative phosphorylation
hsa:341947	path:hsa00190	Oxidative phosphorylation
hsa:374291	path:hsa00190	Oxidative phosphorylation
hsa:440567	path:hsa00190	Oxidative phosphorylation
hsa:4508	path:hsa00190	Oxidative phosphorylation
hsa:4509	path:hsa00190	Oxidative phosphorylation
hsa:4512	path:hsa00190	Oxidative phosphorylation
hsa:4513	path:hsa00190	Oxidative phosphorylation
hsa:4514	path:hsa00190	Oxidative phosphorylation
